category,descrip,name,topics,type,views,views_norm
Payroll,"Payroll information for all Los Angeles City Employees including the City's three proprietary departments: Water and Power, Airports and Harbor. Data is updated on a quarterly basis by the Los Angeles City Controller's Office. Payroll information for employees of the Department of Water and Power is provided by the Department.",City Employee Payroll,"['overtime', 'healthcare', 'bonuses', 'personnel', 'payroll']",Dataset,2628.0,0.13309698657888072
,We want to hear from you - how can we improve ControlPanel LA?,ControlPanel LA Survey,"['response', 'survey', 'form']",Form,2567.0,0.13000759685996455
Finance,Financial Data for the Checkbook Explorer,Checkbook vendor search,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,2463.0,0.12474044061787794
Purchasing,Financial Data for the Checkbook Explorer since Fiscal Year 2012.,Top 50 Contracts by Total Dollar Value,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Chart,2439.0,0.12352494302355027
Purchasing,Financial Data for the Checkbook Explorer. Data since Fiscal Year 2012.,Check Summary,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,2400.0,0.12154975943276779
Purchasing,Financial Data for the Checkbook Explorer since Fiscal Year 2012.,Settlements/Judgments Under $1000,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,2081.0,0.10539377057482907
Payroll,"Payroll information for all Los Angeles City Departments since 2013. Data for calendar years, updated on a quarterly basis by the Los Angeles City Controller's Office.",All City Departments by Payroll,"['overtime', 'healthcare', 'bonuses', 'personnel', 'payroll']",Chart,2054.0,0.10402633578121043
Statistics,Analysis of 2015 full-time employee earnings by gender across the various Departments of the City of Los Angeles.,Gender Breakdown of City Workers by Department,"['wage gap', 'equality', 'women', 'gender', 'employees']",Dataset,1966.0,0.09956951126867561
Purchasing,Financial Data for the Checkbook Explorer. Data since Fiscal Year 2012.,Department of City Planning and Development Expenditures,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,1860.0,0.09420106356039504
Budget,This dataset provides details for Fiscal Year expenditures by month since Fiscal Year 2012.,City Expenditures by Month,"['ron galperin', 'controller', 'los angeles', 'monthly expenditures', 'expenditures']",Dataset,1810.0,0.0916687769055457
Purchasing,Financial Data for the Checkbook Explorer. Data since Fiscal Year 2012.,Neighborhood Empowerment and Neighborhood Council Expenditures,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Filtered View,1807.0,0.09151683970625475
Purchasing,Financial Data for the Checkbook Explorer. Data since Fiscal Year 2012.,DWP Top Vendors,"['agencies', 'vendors', 'expenditures', 'echeckbook', 'checkbook']",Chart,1768.0,0.08954165611547227
