category,descrip,name,topics,type,views,views_norm
Government,August 2013 Primary ECanvass,FWSD - 2013 Primary,"['2013 result', 'election', 'ecanvass', '2013 primary election']",Filtered View,3112.0,0.08804141794211673
Government,,Aug 2013 Primary : Metro King Council No 9,"['elections', 'king county']",Chart,3062.0,0.08662687073867655
Government,,"Aug 2013 Primary : Seattle School District 1, Director District 4","['elections', 'king county']",Chart,2919.0,0.08258126573683763
Government,Ecanvass results by precinct,2013 COB Council Robinson/Slatter,"['ecanvass', 'election']",Filtered View,2879.0,0.08144962797408549
Government,,Aug 2013 Primary : Auburn Mayor,"['elections', 'king county']",Chart,2871.0,0.08122330042153507
,,"Lieutenant Governor - General Election, 2012",[],Chart,2849.0,0.08060089965202138
Government,Ballot drop boxes and van locations for the current election.,June 2013 : Where To Return Ballots,[],Map,2819.0,0.07975217132995728
Government,,Aug 2013 Primary : Metro King Council No 1,"['elections', 'king county']",Chart,2819.0,0.07975217132995728
,,"Lt Governor table - General Election, 2012",[],Filtered View,2815.0,0.07963900755368207
Government,,February 2013 Special : Seattle School District 1 - Proposition No. 1 operations levy,[],Chart,2715.0,0.0768099131468017
Government,For more info: http://kingcounty.gov/elections/election-info/2014/201404,"Results schedule, list - April 2014 Special Election","['elections', 'results schedule', '2014', 'april 2014']",Filtered View,2653.0,0.07505587461453589
Government,,yyy-2014-primary,['elections'],Filtered View,2638.0,0.07463151045350383
,,"Commissioner of Public Lands - General Election, 2012",[],Chart,2635.0,0.07454663762129743
,,"Black Diamond, Prop 1 - General Election, 2012",[],Chart,2596.0,0.07344329080261408
,,"Congressional District 8 - General Election, 2012",[],Chart,2590.0,0.07327354513820127
,,"Black Diamond, table - General Election, 2012",[],Filtered View,2587.0,0.07318867230599485
,,"Congressional District 8 - General Election, 2012",[],Filtered View,2581.0,0.07301892664158204
,,Public Lands Cmm table - General Election 2012,[],Filtered View,2577.0,0.07290576286530681
,,"Federal Way, Prop 1 - General Election 2012",[],Chart,2534.0,0.07168925227034827
,,"Federal Way, Prop 1 Table - General Election 2012",[],Filtered View,2512.0,0.07106685150083458
Government,,Aug 2013 Primary : Kent Council Position 6,"['elections', 'king county']",Chart,2461.0,0.0696240133533256
Government,,Aug 2013 Primary : Black Diamond Mayor,"['elections', 'king county']",Chart,2454.0,0.06942597674484398
,,"Congressional District 7 - General Election, 2012",[],Chart,2411.0,0.06820946614988542
Government,Primary election results posting schedule; daily updates subject to change.,August 2014 Primary Results Schedule - Calendar View,"['primary', '2014', 'king county', 'elections']",Calendar,2380.0,0.0673324468837525
,,"Congressional District 7 - General Election, 2012",[],Filtered View,2373.0,0.06713441027527088
,,"State Representative, District 30 Position 1 - General Election, 2012",[],Chart,2283.0,0.06458822530907857
,,"State Representative, District 30 Position 1 - General Election, 2012",[],Filtered View,2280.0,0.06450335247687215
,,"Congressional District 9 - General Election, 2012",[],Chart,2202.0,0.06229665883950548
,,"Congressional District 9 - General Election, 2012",[],Filtered View,2198.0,0.06218349506323026
,,"State Senator, District 5 - General Election, 2012",[],Filtered View,2184.0,0.06178742184626701
,,"State Senator, District 5 - General Election, 2012",[],Chart,2164.0,0.06122160296489094
,,"State Auditor - General Election, 2012",[],Chart,2150.0,0.06082552974792769
,,"State Representative, District 36 Position 2 - General Election, 2012",[],Chart,2147.0,0.06074065691572128
Government,See http://kingcounty.gov/elections/ballot-return-locations,DEPRACATED: KC Ballot Drop Box Dataset,"['ballot', 'van', 'drop box', 'ballot return']",Dataset,2120.0,0.059976801425863584
,,"State Representative, District 36 Position 2 - General Election, 2012",[],Filtered View,2096.0,0.059297818768212295
,,"Supreme Court Justice 9 - General Election, 2012",[],Chart,2050.0,0.05799643534104733
,,"Supreme Court Justice 9 table - General Election, 2012",[],Filtered View,2020.0,0.057147707018983224
Government,,"Aug 2013 Primary : Bellevue School District 405, Director District 5","['elections', 'king county']",Chart,1986.0,0.0561858149206439
,Results data for April 23 special election in King County.,KC Fire Protection District 43,['elections'],Chart,1955.0,0.05530879565451099
Government,,Results Schedule-List - Feb 2014 Special Election,[],Filtered View,1916.0,0.05420544883582765
,,"Kent, Prop 1 - General Election, 2012",[],Chart,1904.0,0.05386595750700201
Government,,"Aug 2013 Primary : Seattle School District 1, Director District 5","['elections', 'king county']",Chart,1900.0,0.05375279373072679
,,"Insurance Commissioner - General Election, 2012",[],Chart,1889.0,0.05344159334596996
,,SJR 8221 table - General Election 2012,[],Filtered View,1866.0,0.05279090163238747
,,Insurance Commissioner table - General Election 2012,[],Filtered View,1852.0,0.05239482841542422
,,"Joint Resolution No. 8221 - General Election, 2012",[],Chart,1851.0,0.05236653747135542
,,ESB 6635 Advisory Vote table - General Election 2012,[],Filtered View,1843.0,0.05214020991880499
Government,,August 2014 primary - PCO ecanvass,['election'],Dataset,1828.0,0.05171584575777294
,,"Engrossed Senate Bill 6635 - General Election, 2012",[],Chart,1827.0,0.051687554813704135
,,"Kent, table - General Election, 2012",[],Filtered View,1806.0,0.05109344498825926
